epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.62956,1.41729,0.57915,0.98842,1.04267,0.000307692,0.000307692,0.000307692
2,3.45212,0.8156,0.74131,1,0.58766,0.000628333,0.000628333,0.000628333
3,4.98937,0.67873,0.76448,1,0.8848,0.000935774,0.000935774,0.000935774
4,6.52971,0.64716,0.73359,1,0.57046,0.0009406,0.0009406,0.0009406
5,8.04227,0.54236,0.76062,1,0.6115,0.0009208,0.0009208,0.0009208
6,9.39633,0.52122,0.78764,1,0.51406,0.000901,0.000901,0.000901
7,10.9273,0.45922,0.71815,1,0.82745,0.0008812,0.0008812,0.0008812
8,12.5387,0.53121,0.82239,1,0.38274,0.0008614,0.0008614,0.0008614
9,14.1257,0.45754,0.69112,0.99614,0.85191,0.0008416,0.0008416,0.0008416
10,15.4463,0.41418,0.79151,1,0.5441,0.0008218,0.0008218,0.0008218
11,16.831,0.38424,0.74903,1,1.02297,0.000802,0.000802,0.000802
12,18.1833,0.3679,0.7722,1,0.83662,0.0007822,0.0007822,0.0007822
13,19.5312,0.3345,0.7529,1,1.24106,0.0007624,0.0007624,0.0007624
14,20.9415,0.31251,0.76834,1,0.59789,0.0007426,0.0007426,0.0007426
15,22.2387,0.31964,0.76062,0.99614,0.79718,0.0007228,0.0007228,0.0007228
16,23.6392,0.27898,0.80695,1,0.56648,0.000703,0.000703,0.000703
17,25.1555,0.25491,0.79923,1,0.35711,0.0006832,0.0006832,0.0006832
18,26.5358,0.26219,0.79923,1,0.45891,0.0006634,0.0006634,0.0006634
19,27.9875,0.25951,0.76834,0.99614,0.88089,0.0006436,0.0006436,0.0006436
20,29.5162,0.26412,0.74517,1,0.47838,0.0006238,0.0006238,0.0006238
21,30.8694,0.24222,0.80309,1,0.39407,0.000604,0.000604,0.000604
22,32.1745,0.24626,0.71815,0.99614,1.4066,0.0005842,0.0005842,0.0005842
23,33.4778,0.21143,0.82239,1,0.70215,0.0005644,0.0005644,0.0005644
