epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.70512,1.45579,0.59073,0.98456,1.03308,0.000307692,0.000307692,0.000307692
2,3.40163,0.88188,0.71429,1,0.63639,0.000628333,0.000628333,0.000628333
3,4.92716,0.6893,0.73745,1,0.7497,0.000935774,0.000935774,0.000935774
4,6.56906,0.65069,0.73745,1,0.56487,0.0009406,0.0009406,0.0009406
5,8.27153,0.56565,0.7722,1,0.61662,0.0009208,0.0009208,0.0009208
6,9.98685,0.51072,0.77606,1,0.55052,0.000901,0.000901,0.000901
7,11.4623,0.44753,0.79151,1,1.02776,0.0008812,0.0008812,0.0008812
8,13.0039,0.50818,0.78378,1,0.43905,0.0008614,0.0008614,0.0008614
9,14.3574,0.42657,0.57143,0.99228,1.52363,0.0008416,0.0008416,0.0008416
10,15.7675,0.40471,0.79923,1,0.40479,0.0008218,0.0008218,0.0008218
11,17.216,0.38413,0.74517,1,0.61542,0.000802,0.000802,0.000802
12,18.6715,0.35739,0.76834,1,0.69465,0.0007822,0.0007822,0.0007822
13,19.8163,0.37814,0.74131,1,1.05797,0.0007624,0.0007624,0.0007624
14,21.1136,0.42449,0.76834,1,0.53047,0.0007426,0.0007426,0.0007426
15,22.5106,0.33601,0.78378,1,0.52653,0.0007228,0.0007228,0.0007228
16,23.8941,0.27818,0.75676,1,0.4379,0.000703,0.000703,0.000703
17,25.6332,0.26341,0.79537,1,0.40773,0.0006832,0.0006832,0.0006832
18,27.0471,0.25077,0.78764,1,0.5255,0.0006634,0.0006634,0.0006634
19,28.3874,0.23806,0.65637,1,0.7598,0.0006436,0.0006436,0.0006436
20,29.8008,0.29444,0.79537,1,0.4467,0.0006238,0.0006238,0.0006238
21,31.013,0.27084,0.77606,1,0.50596,0.000604,0.000604,0.000604
22,32.4453,0.22973,0.71042,1,1.05774,0.0005842,0.0005842,0.0005842
23,33.737,0.23125,0.7529,1,1.37424,0.0005644,0.0005644,0.0005644
24,35.1349,0.24588,0.77992,1,0.39253,0.0005446,0.0005446,0.0005446
25,36.549,0.22957,0.72973,0.99614,0.65715,0.0005248,0.0005248,0.0005248
