epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.93564,1.48698,0.57971,0.96377,1.2671,0.000307692,0.000307692,0.000307692
2,3.62065,0.8891,0.63043,0.99275,1.02232,0.000628333,0.000628333,0.000628333
3,5.4213,0.60998,0.50725,0.99275,1.34408,0.000935774,0.000935774,0.000935774
4,7.09555,0.59989,0.6413,1,1.01502,0.0009406,0.0009406,0.0009406
5,8.90259,0.50983,0.76449,1,0.7902,0.0009208,0.0009208,0.0009208
6,10.4222,0.48182,0.74275,1,0.66277,0.000901,0.000901,0.000901
7,11.8191,0.47278,0.76812,1,0.68614,0.0008812,0.0008812,0.0008812
8,13.1897,0.44501,0.69565,1,0.93128,0.0008614,0.0008614,0.0008614
9,14.556,0.39372,0.76087,1,0.87024,0.0008416,0.0008416,0.0008416
10,15.9389,0.40286,0.80072,1,1.05848,0.0008218,0.0008218,0.0008218
11,17.391,0.33181,0.80072,1,0.82745,0.000802,0.000802,0.000802
12,18.7293,0.32922,0.78261,1,0.7794,0.0007822,0.0007822,0.0007822
13,20.2853,0.28886,0.7971,1,0.72804,0.0007624,0.0007624,0.0007624
14,21.6459,0.29752,0.74638,1,0.97163,0.0007426,0.0007426,0.0007426
15,23.0839,0.2736,0.80797,1,0.77302,0.0007228,0.0007228,0.0007228
16,24.5196,0.25357,0.79348,1,1.03271,0.000703,0.000703,0.000703
17,25.9249,0.27996,0.78623,1,1.15933,0.0006832,0.0006832,0.0006832
18,27.2888,0.25016,0.81159,1,0.74365,0.0006634,0.0006634,0.0006634
19,28.7532,0.23291,0.80435,1,0.99196,0.0006436,0.0006436,0.0006436
20,30.2125,0.23251,0.77536,1,0.75682,0.0006238,0.0006238,0.0006238
21,31.5351,0.20874,0.80435,1,1.04341,0.000604,0.000604,0.000604
22,32.845,0.1759,0.77899,1,0.90984,0.0005842,0.0005842,0.0005842
23,34.43,0.18436,0.76087,1,0.82499,0.0005644,0.0005644,0.0005644
24,35.9554,0.16943,0.7971,1,0.75013,0.0005446,0.0005446,0.0005446
25,37.477,0.14232,0.79348,1,0.96917,0.0005248,0.0005248,0.0005248
26,38.8325,0.12844,0.80072,1,0.97447,0.000505,0.000505,0.000505
27,40.1878,0.16662,0.78261,1,0.85309,0.0004852,0.0004852,0.0004852
28,41.7334,0.1279,0.77899,1,1.06177,0.0004654,0.0004654,0.0004654
29,43.1574,0.12485,0.80072,1,1.19371,0.0004456,0.0004456,0.0004456
30,44.5564,0.14443,0.77174,1,1.38008,0.0004258,0.0004258,0.0004258
31,45.8567,0.11971,0.78623,0.99638,0.79775,0.000406,0.000406,0.000406
32,47.3637,0.11852,0.78986,0.99638,0.90438,0.0003862,0.0003862,0.0003862
33,48.9597,0.11985,0.80072,0.99638,0.82419,0.0003664,0.0003664,0.0003664
