epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.75802,1.42976,0.57246,0.96014,1.31741,0.000307692,0.000307692,0.000307692
2,3.81884,0.89539,0.67029,0.98551,1.17089,0.000628333,0.000628333,0.000628333
3,5.71966,0.70352,0.5,0.96377,1.56645,0.000935774,0.000935774,0.000935774
4,7.16852,0.56221,0.63406,1,1.39681,0.0009406,0.0009406,0.0009406
5,8.55152,0.58147,0.69203,0.99638,0.89065,0.0009208,0.0009208,0.0009208
6,10.07,0.56675,0.77174,1,0.74951,0.000901,0.000901,0.000901
7,11.4934,0.58938,0.64855,1,1.24184,0.0008812,0.0008812,0.0008812
8,12.8417,0.51399,0.76449,1,0.75509,0.0008614,0.0008614,0.0008614
9,14.1904,0.4495,0.74638,1,0.75153,0.0008416,0.0008416,0.0008416
10,15.4448,0.45588,0.71014,1,1.06244,0.0008218,0.0008218,0.0008218
11,16.8547,0.41867,0.73913,1,1.06299,0.000802,0.000802,0.000802
12,18.5013,0.37688,0.77174,1,0.8306,0.0007822,0.0007822,0.0007822
13,20.093,0.39852,0.64855,1,1.07923,0.0007624,0.0007624,0.0007624
14,21.3668,0.38402,0.78623,1,0.82406,0.0007426,0.0007426,0.0007426
15,22.7862,0.29949,0.80072,1,0.86288,0.0007228,0.0007228,0.0007228
16,24.1536,0.35041,0.71739,0.98188,1.0495,0.000703,0.000703,0.000703
17,25.2904,0.37661,0.73188,1,1.16072,0.0006832,0.0006832,0.0006832
18,26.7285,0.31392,0.74638,1,0.88632,0.0006634,0.0006634,0.0006634
19,28.1172,0.27149,0.76449,0.99638,1.12806,0.0006436,0.0006436,0.0006436
20,29.4834,0.28937,0.71739,1,0.84084,0.0006238,0.0006238,0.0006238
21,30.8265,0.2881,0.73551,1,1.10371,0.000604,0.000604,0.000604
22,32.4081,0.25909,0.78986,0.99638,0.94411,0.0005842,0.0005842,0.0005842
23,33.9138,0.23901,0.76812,1,0.79587,0.0005644,0.0005644,0.0005644
24,35.2229,0.22313,0.77536,0.99638,0.80216,0.0005446,0.0005446,0.0005446
25,36.4604,0.20835,0.76812,1,1.11068,0.0005248,0.0005248,0.0005248
26,37.7814,0.17207,0.78261,1,1.255,0.000505,0.000505,0.000505
27,39.015,0.20865,0.77536,1,1.25188,0.0004852,0.0004852,0.0004852
28,40.4348,0.19014,0.78261,1,1.08329,0.0004654,0.0004654,0.0004654
29,41.6878,0.16455,0.80072,0.99638,1.31318,0.0004456,0.0004456,0.0004456
30,43.0468,0.21693,0.76087,0.98913,1.15903,0.0004258,0.0004258,0.0004258
