epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.68446,1.42208,0.63504,0.9927,0.89595,0.000307692,0.000307692,0.000307692
2,6.44698,0.95303,0.69343,0.9927,0.73178,0.000628333,0.000628333,0.000628333
3,7.95225,0.74358,0.62774,1,1.06191,0.000935774,0.000935774,0.000935774
4,9.23232,0.72845,0.70073,1,1.14387,0.0009406,0.0009406,0.0009406
5,10.7499,0.63396,0.74818,1,0.92923,0.0009208,0.0009208,0.0009208
6,12.1787,0.60094,0.73723,1,0.67116,0.000901,0.000901,0.000901
7,13.6998,0.59327,0.71168,1,0.82119,0.0008812,0.0008812,0.0008812
8,15.2292,0.52533,0.74088,1,0.71635,0.0008614,0.0008614,0.0008614
9,16.7991,0.46397,0.69708,1,0.91847,0.0008416,0.0008416,0.0008416
10,18.1938,0.48095,0.76277,1,0.75881,0.0008218,0.0008218,0.0008218
11,19.5719,0.4758,0.71168,1,0.83215,0.000802,0.000802,0.000802
12,20.947,0.46345,0.71533,0.9927,0.72317,0.0007822,0.0007822,0.0007822
13,22.3337,0.41816,0.75547,1,0.74102,0.0007624,0.0007624,0.0007624
14,23.733,0.42318,0.77737,1,0.62901,0.0007426,0.0007426,0.0007426
15,25.2424,0.35956,0.77007,1,0.78706,0.0007228,0.0007228,0.0007228
16,26.7314,0.29468,0.75912,0.99635,0.69515,0.000703,0.000703,0.000703
17,28.1007,0.27175,0.74453,1,0.70546,0.0006832,0.0006832,0.0006832
18,29.7003,0.26512,0.80657,1,0.65591,0.0006634,0.0006634,0.0006634
19,31.1825,0.25453,0.77007,1,0.75964,0.0006436,0.0006436,0.0006436
20,32.5947,0.25149,0.77372,1,0.92342,0.0006238,0.0006238,0.0006238
21,33.8974,0.23031,0.79197,1,0.5693,0.000604,0.000604,0.000604
22,35.2703,0.20135,0.78102,0.99635,0.76219,0.0005842,0.0005842,0.0005842
23,36.5824,0.19668,0.77372,1,0.77643,0.0005644,0.0005644,0.0005644
24,37.9806,0.20867,0.78832,1,0.61169,0.0005446,0.0005446,0.0005446
25,39.4127,0.19172,0.80292,1,0.55682,0.0005248,0.0005248,0.0005248
26,40.94,0.19374,0.78832,1,0.57065,0.000505,0.000505,0.000505
27,42.4092,0.18567,0.77007,1,0.62317,0.0004852,0.0004852,0.0004852
28,44.0106,0.16567,0.79562,1,0.60517,0.0004654,0.0004654,0.0004654
29,45.5727,0.12401,0.79197,1,0.78782,0.0004456,0.0004456,0.0004456
30,46.8067,0.15053,0.79927,1,0.84743,0.0004258,0.0004258,0.0004258
31,48.1761,0.14424,0.79927,1,0.5857,0.000406,0.000406,0.000406
32,49.5116,0.12382,0.75912,1,0.86031,0.0003862,0.0003862,0.0003862
33,50.8463,0.10545,0.81022,1,0.83892,0.0003664,0.0003664,0.0003664
34,52.2836,0.09381,0.76277,1,0.80135,0.0003466,0.0003466,0.0003466
35,53.6936,0.08139,0.79197,1,0.7874,0.0003268,0.0003268,0.0003268
36,54.9423,0.09673,0.80292,1,0.94996,0.000307,0.000307,0.000307
37,56.2454,0.07771,0.79197,1,0.65052,0.0002872,0.0002872,0.0002872
38,57.8125,0.07396,0.80292,1,0.75866,0.0002674,0.0002674,0.0002674
39,59.2539,0.08002,0.78832,1,0.73778,0.0002476,0.0002476,0.0002476
40,60.7444,0.09599,0.78467,1,0.81122,0.0002278,0.0002278,0.0002278
41,64.5989,0.09234,0.81022,1,0.73761,0.000208,0.000208,0.000208
42,66.0612,0.08022,0.80657,1,0.75266,0.0001882,0.0001882,0.0001882
43,67.2544,0.05485,0.80292,1,0.75691,0.0001684,0.0001684,0.0001684
44,68.7877,0.06923,0.79197,1,0.73222,0.0001486,0.0001486,0.0001486
45,70.2309,0.04776,0.78102,1,0.89704,0.0001288,0.0001288,0.0001288
46,71.7036,0.04913,0.79562,1,0.6567,0.000109,0.000109,0.000109
47,73.3341,0.06332,0.78832,1,0.9074,8.92e-05,8.92e-05,8.92e-05
48,75.0449,0.04592,0.79562,1,0.7749,6.94e-05,6.94e-05,6.94e-05
