epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.85724,1.4856,0.59854,0.98175,1.03798,0.000307692,0.000307692,0.000307692
2,3.59165,0.96548,0.68613,0.99635,0.75022,0.000628333,0.000628333,0.000628333
3,5.63394,0.72019,0.72263,1,0.77732,0.000935774,0.000935774,0.000935774
4,7.60815,0.61303,0.70438,1,0.83649,0.0009406,0.0009406,0.0009406
5,8.99032,0.59494,0.81752,1,0.59384,0.0009208,0.0009208,0.0009208
6,10.498,0.56957,0.75182,1,0.63987,0.000901,0.000901,0.000901
7,11.8312,0.52791,0.68248,0.99635,0.95657,0.0008812,0.0008812,0.0008812
8,13.1083,0.48373,0.70073,1,0.671,0.0008614,0.0008614,0.0008614
9,14.4113,0.42699,0.73723,1,0.67067,0.0008416,0.0008416,0.0008416
10,15.9185,0.44302,0.79562,1,0.70009,0.0008218,0.0008218,0.0008218
11,17.3518,0.4333,0.74818,1,0.67449,0.000802,0.000802,0.000802
12,18.9674,0.36673,0.78832,1,0.69178,0.0007822,0.0007822,0.0007822
13,20.4884,0.34202,0.72993,1,0.83637,0.0007624,0.0007624,0.0007624
14,22.0066,0.40975,0.81387,1,0.52125,0.0007426,0.0007426,0.0007426
15,23.2788,0.34319,0.73358,1,0.80815,0.0007228,0.0007228,0.0007228
16,24.772,0.27058,0.75912,1,0.60893,0.000703,0.000703,0.000703
17,26.2814,0.28621,0.80657,1,0.46354,0.0006832,0.0006832,0.0006832
18,27.5771,0.25473,0.83942,1,0.73962,0.0006634,0.0006634,0.0006634
19,28.9439,0.24004,0.75912,1,0.86779,0.0006436,0.0006436,0.0006436
20,30.296,0.22745,0.80657,1,0.6127,0.0006238,0.0006238,0.0006238
21,31.6539,0.22059,0.82117,1,0.56489,0.000604,0.000604,0.000604
22,33.171,0.21547,0.77007,1,0.71552,0.0005842,0.0005842,0.0005842
23,34.5919,0.17672,0.81387,1,0.67972,0.0005644,0.0005644,0.0005644
24,36.3637,0.16412,0.81022,1,0.75934,0.0005446,0.0005446,0.0005446
25,37.6527,0.18689,0.75912,1,0.69362,0.0005248,0.0005248,0.0005248
26,38.9,0.18996,0.78102,1,0.55081,0.000505,0.000505,0.000505
27,40.1721,0.19143,0.77007,1,0.66304,0.0004852,0.0004852,0.0004852
28,41.6125,0.19995,0.76642,1,0.6699,0.0004654,0.0004654,0.0004654
29,43.0859,0.15203,0.81752,1,0.67924,0.0004456,0.0004456,0.0004456
30,44.3817,0.17326,0.78832,1,0.65795,0.0004258,0.0004258,0.0004258
31,45.7317,0.1404,0.78467,1,0.63025,0.000406,0.000406,0.000406
32,47.237,0.11005,0.79197,1,0.51923,0.0003862,0.0003862,0.0003862
33,48.711,0.14522,0.82117,1,0.58935,0.0003664,0.0003664,0.0003664
