epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.79199,1.52464,0.58394,0.98175,1.06202,0.000307692,0.000307692,0.000307692
2,3.92396,0.94081,0.70073,1,0.70695,0.000628333,0.000628333,0.000628333
3,5.81724,0.71182,0.70438,1,0.95311,0.000935774,0.000935774,0.000935774
4,7.27782,0.62829,0.65328,1,0.81812,0.0009406,0.0009406,0.0009406
5,8.844,0.59877,0.76277,1,0.66126,0.0009208,0.0009208,0.0009208
6,10.307,0.54503,0.74088,0.99635,0.67597,0.000901,0.000901,0.000901
7,11.5528,0.53625,0.79197,1,0.7107,0.0008812,0.0008812,0.0008812
8,12.9495,0.46638,0.70438,1,0.79503,0.0008614,0.0008614,0.0008614
9,14.2735,0.37257,0.44161,1,1.53637,0.0008416,0.0008416,0.0008416
10,15.6576,0.37568,0.70438,1,0.73311,0.0008218,0.0008218,0.0008218
11,17.2353,0.41721,0.78832,1,0.51861,0.000802,0.000802,0.000802
12,18.7281,0.36358,0.75912,1,0.64258,0.0007822,0.0007822,0.0007822
13,20.3199,0.29856,0.55109,1,1.58916,0.0007624,0.0007624,0.0007624
14,21.7873,0.2981,0.76642,1,0.7071,0.0007426,0.0007426,0.0007426
15,23.136,0.26233,0.77007,1,0.73706,0.0007228,0.0007228,0.0007228
16,24.5688,0.25541,0.76642,1,0.94924,0.000703,0.000703,0.000703
17,25.9645,0.2876,0.68613,1,0.97883,0.0006832,0.0006832,0.0006832
18,27.2183,0.2758,0.79927,1,0.82999,0.0006634,0.0006634,0.0006634
19,28.6581,0.24172,0.62044,1,1.09458,0.0006436,0.0006436,0.0006436
20,30.1601,0.2343,0.76642,1,0.72983,0.0006238,0.0006238,0.0006238
21,31.607,0.20643,0.74088,1,0.77078,0.000604,0.000604,0.000604
22,33.1883,0.17765,0.76642,1,0.7241,0.0005842,0.0005842,0.0005842
23,34.6659,0.17975,0.75912,1,1.02733,0.0005644,0.0005644,0.0005644
24,36.0518,0.1753,0.78832,1,0.72251,0.0005446,0.0005446,0.0005446
25,37.435,0.14044,0.72263,1,1.16386,0.0005248,0.0005248,0.0005248
26,39.0022,0.16286,0.75547,1,0.77222,0.000505,0.000505,0.000505
27,40.3286,0.15992,0.79927,1,0.5688,0.0004852,0.0004852,0.0004852
28,41.8019,0.12,0.78832,1,1.30699,0.0004654,0.0004654,0.0004654
29,43.146,0.09475,0.79197,1,0.97204,0.0004456,0.0004456,0.0004456
30,44.505,0.10218,0.81022,1,0.81984,0.0004258,0.0004258,0.0004258
31,46.1722,0.12155,0.80292,1,0.82913,0.000406,0.000406,0.000406
32,47.698,0.12327,0.80657,1,0.88229,0.0003862,0.0003862,0.0003862
33,49.1109,0.10467,0.78832,1,0.71043,0.0003664,0.0003664,0.0003664
34,50.501,0.08542,0.79197,1,0.97973,0.0003466,0.0003466,0.0003466
35,52.0294,0.09479,0.78102,1,0.76946,0.0003268,0.0003268,0.0003268
36,53.6566,0.0751,0.79562,1,0.92114,0.000307,0.000307,0.000307
37,55.0985,0.06807,0.79927,1,0.76398,0.0002872,0.0002872,0.0002872
38,56.502,0.07063,0.80657,1,0.73231,0.0002674,0.0002674,0.0002674
39,57.7931,0.09033,0.79197,1,0.89968,0.0002476,0.0002476,0.0002476
40,59.4023,0.07497,0.80292,1,0.85229,0.0002278,0.0002278,0.0002278
41,63.6043,0.08514,0.80292,1,0.90125,0.000208,0.000208,0.000208
42,65.3649,0.06372,0.81752,1,0.73924,0.0001882,0.0001882,0.0001882
43,66.8312,0.08288,0.77372,1,0.87664,0.0001684,0.0001684,0.0001684
44,68.294,0.07222,0.78832,1,1.01192,0.0001486,0.0001486,0.0001486
45,69.685,0.06939,0.79562,1,0.90513,0.0001288,0.0001288,0.0001288
46,71.1804,0.05856,0.80292,1,0.68249,0.000109,0.000109,0.000109
47,72.7871,0.06608,0.81022,1,0.91526,8.92e-05,8.92e-05,8.92e-05
48,74.5336,0.06199,0.80292,1,1.11055,6.94e-05,6.94e-05,6.94e-05
49,76.1565,0.05531,0.80657,1,0.91474,4.96e-05,4.96e-05,4.96e-05
50,77.7149,0.047,0.80292,1,1.00779,2.98e-05,2.98e-05,2.98e-05
