epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.4284,1.42679,0.61194,0.99627,1.03524,0.000307692,0.000307692,0.000307692
2,11.918,0.91061,0.67164,1,0.74203,0.000628333,0.000628333,0.000628333
3,13.0861,0.7478,0.73881,1,0.69477,0.000935774,0.000935774,0.000935774
4,14.4036,0.69013,0.71269,1,0.70584,0.0009406,0.0009406,0.0009406
5,15.8009,0.60876,0.72388,1,0.69546,0.0009208,0.0009208,0.0009208
6,16.989,0.64997,0.73134,1,0.67883,0.000901,0.000901,0.000901
7,18.3444,0.56317,0.69403,0.97761,1.28746,0.0008812,0.0008812,0.0008812
8,19.4397,0.51014,0.76493,1,0.60622,0.0008614,0.0008614,0.0008614
9,20.7913,0.46164,0.71642,1,0.57816,0.0008416,0.0008416,0.0008416
10,22.2992,0.4747,0.70149,1,0.84662,0.0008218,0.0008218,0.0008218
11,23.8173,0.47326,0.68657,1,1.02209,0.000802,0.000802,0.000802
12,25.3478,0.40041,0.75373,1,0.6503,0.0007822,0.0007822,0.0007822
13,26.5336,0.38737,0.75373,1,0.94036,0.0007624,0.0007624,0.0007624
14,27.8792,0.40309,0.73881,1,1.0861,0.0007426,0.0007426,0.0007426
15,29.2335,0.34585,0.76493,1,0.65436,0.0007228,0.0007228,0.0007228
16,30.7136,0.31952,0.75,1,0.62096,0.000703,0.000703,0.000703
17,31.9431,0.32654,0.74254,0.99627,0.83941,0.0006832,0.0006832,0.0006832
18,33.3156,0.35269,0.64552,1,1.15793,0.0006634,0.0006634,0.0006634
19,34.6083,0.28971,0.76493,1,0.95188,0.0006436,0.0006436,0.0006436
20,36.0126,0.26452,0.77985,1,0.84726,0.0006238,0.0006238,0.0006238
21,37.4096,0.20219,0.75746,1,0.71527,0.000604,0.000604,0.000604
22,38.8261,0.17569,0.75,1,0.73306,0.0005842,0.0005842,0.0005842
23,40.1493,0.17629,0.71642,1,0.88313,0.0005644,0.0005644,0.0005644
24,41.4884,0.25059,0.77612,1,0.67447,0.0005446,0.0005446,0.0005446
25,42.8258,0.17812,0.75746,1,0.65737,0.0005248,0.0005248,0.0005248
26,44.0888,0.17841,0.75,1,1.19944,0.000505,0.000505,0.000505
27,45.616,0.14723,0.75373,1,0.82105,0.0004852,0.0004852,0.0004852
28,46.8767,0.17029,0.74627,1,0.96589,0.0004654,0.0004654,0.0004654
29,48.0667,0.1411,0.77239,1,0.84257,0.0004456,0.0004456,0.0004456
30,49.4251,0.11995,0.76866,1,0.93785,0.0004258,0.0004258,0.0004258
31,50.9229,0.13263,0.74627,1,0.89148,0.000406,0.000406,0.000406
32,52.2983,0.10733,0.75746,1,0.95899,0.0003862,0.0003862,0.0003862
33,53.7272,0.11504,0.76493,1,0.68542,0.0003664,0.0003664,0.0003664
34,54.9796,0.10269,0.78731,1,1.05134,0.0003466,0.0003466,0.0003466
35,56.3284,0.09728,0.77985,1,0.80665,0.0003268,0.0003268,0.0003268
36,57.6489,0.09467,0.79104,1,1.21831,0.000307,0.000307,0.000307
37,59.0056,0.06409,0.8097,1,0.72686,0.0002872,0.0002872,0.0002872
38,60.4991,0.10375,0.77612,1,0.96943,0.0002674,0.0002674,0.0002674
39,61.8211,0.08657,0.78358,1,0.75919,0.0002476,0.0002476,0.0002476
40,63.0528,0.09548,0.78731,1,0.79996,0.0002278,0.0002278,0.0002278
41,66.7314,0.08545,0.76866,1,1.10319,0.000208,0.000208,0.000208
42,68.3679,0.08059,0.77239,1,0.99221,0.0001882,0.0001882,0.0001882
43,69.5727,0.0554,0.78731,1,0.87395,0.0001684,0.0001684,0.0001684
44,71.1013,0.06648,0.78358,1,0.80168,0.0001486,0.0001486,0.0001486
45,72.4778,0.05818,0.77239,1,0.77639,0.0001288,0.0001288,0.0001288
46,73.7789,0.06839,0.78358,1,0.75107,0.000109,0.000109,0.000109
47,75.1992,0.05787,0.76119,1,0.8888,8.92e-05,8.92e-05,8.92e-05
48,76.5788,0.05977,0.76493,1,1.03644,6.94e-05,6.94e-05,6.94e-05
49,78.0222,0.04361,0.78358,1,1.39755,4.96e-05,4.96e-05,4.96e-05
50,79.5645,0.04645,0.76866,1,0.76886,2.98e-05,2.98e-05,2.98e-05
