epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.34354,1.52921,0.56015,0.99248,1.02751,0.000307692,0.000307692,0.000307692
2,4.21775,0.94734,0.71429,0.99248,0.7852,0.000628333,0.000628333,0.000628333
3,5.88353,0.65925,0.7218,1,0.98705,0.000935774,0.000935774,0.000935774
4,7.31248,0.61465,0.68045,1,0.78997,0.0009406,0.0009406,0.0009406
5,8.82736,0.5781,0.70677,1,0.76822,0.0009208,0.0009208,0.0009208
6,10.2585,0.51825,0.71805,1,0.84727,0.000901,0.000901,0.000901
7,11.737,0.5421,0.66917,1,0.89648,0.0008812,0.0008812,0.0008812
8,13.2293,0.44236,0.66917,1,0.90181,0.0008614,0.0008614,0.0008614
9,14.8386,0.42349,0.79323,1,0.68017,0.0008416,0.0008416,0.0008416
10,16.4666,0.40753,0.78571,1,0.53943,0.0008218,0.0008218,0.0008218
11,17.924,0.37492,0.79323,0.99624,0.74965,0.000802,0.000802,0.000802
12,19.3932,0.32948,0.76692,1,0.86756,0.0007822,0.0007822,0.0007822
13,20.7937,0.28257,0.75188,1,1.03347,0.0007624,0.0007624,0.0007624
14,22.1869,0.28147,0.76692,1,1.06699,0.0007426,0.0007426,0.0007426
15,23.6292,0.25267,0.75188,0.99624,1.16328,0.0007228,0.0007228,0.0007228
16,25.0727,0.26605,0.7782,0.99248,0.78133,0.000703,0.000703,0.000703
17,26.6813,0.24858,0.74436,1,0.85235,0.0006832,0.0006832,0.0006832
18,28.085,0.23651,0.78947,0.99248,0.60933,0.0006634,0.0006634,0.0006634
19,29.5728,0.25765,0.75188,1,0.90891,0.0006436,0.0006436,0.0006436
20,31.1919,0.2134,0.79323,1,0.67027,0.0006238,0.0006238,0.0006238
21,32.7599,0.19681,0.7782,1,1.1133,0.000604,0.000604,0.000604
22,33.9945,0.18375,0.75188,1,0.93938,0.0005842,0.0005842,0.0005842
23,35.2967,0.19732,0.74436,1,0.92467,0.0005644,0.0005644,0.0005644
24,36.7778,0.16445,0.79699,1,1.04276,0.0005446,0.0005446,0.0005446
25,38.246,0.14236,0.78571,1,1.36229,0.0005248,0.0005248,0.0005248
26,39.6514,0.12897,0.77444,0.99624,1.07398,0.000505,0.000505,0.000505
27,41.0127,0.12536,0.76316,0.99624,1.19711,0.0004852,0.0004852,0.0004852
28,42.5592,0.13231,0.76692,0.99624,1.53552,0.0004654,0.0004654,0.0004654
29,44.1647,0.1214,0.73308,0.99624,1.20105,0.0004456,0.0004456,0.0004456
30,45.8864,0.11388,0.73308,0.99624,0.96621,0.0004258,0.0004258,0.0004258
31,47.3378,0.08663,0.74812,0.99248,1.16036,0.000406,0.000406,0.000406
32,48.6524,0.09735,0.78195,0.99248,1.52676,0.0003862,0.0003862,0.0003862
33,50.0527,0.09112,0.81203,0.99624,0.82673,0.0003664,0.0003664,0.0003664
34,51.3886,0.09597,0.78947,0.99624,1.17477,0.0003466,0.0003466,0.0003466
35,52.7843,0.09687,0.78571,0.99248,1.09072,0.0003268,0.0003268,0.0003268
36,54.2077,0.08327,0.78947,0.99624,0.84318,0.000307,0.000307,0.000307
37,55.5502,0.06729,0.77068,0.99624,0.81651,0.0002872,0.0002872,0.0002872
38,56.9442,0.06657,0.78947,0.99248,1.62256,0.0002674,0.0002674,0.0002674
39,58.4784,0.06025,0.80451,0.99248,0.85404,0.0002476,0.0002476,0.0002476
40,60.3157,0.06554,0.78571,0.99248,1.0616,0.0002278,0.0002278,0.0002278
41,64.4323,0.06556,0.79323,0.99248,1.30305,0.000208,0.000208,0.000208
42,65.8838,0.04869,0.80451,0.99624,1.04721,0.0001882,0.0001882,0.0001882
43,67.36,0.05331,0.81203,0.99624,0.79219,0.0001684,0.0001684,0.0001684
44,68.8583,0.0622,0.79323,0.99624,1.18796,0.0001486,0.0001486,0.0001486
45,70.3406,0.07861,0.80827,0.99248,0.81197,0.0001288,0.0001288,0.0001288
46,71.8098,0.03672,0.80451,0.99248,1.45334,0.000109,0.000109,0.000109
47,73.4176,0.06106,0.78947,0.99624,0.82029,8.92e-05,8.92e-05,8.92e-05
48,75.0786,0.02677,0.7782,0.99624,1.94856,6.94e-05,6.94e-05,6.94e-05
