epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.9264,1.39818,0.52899,0.96377,1.25474,0.000307692,0.000307692,0.000307692
2,8.77678,0.88123,0.6087,0.98188,1.08986,0.000628333,0.000628333,0.000628333
3,10.0626,0.70326,0.6558,0.98188,1.07138,0.000935774,0.000935774,0.000935774
4,11.3813,0.6719,0.52174,0.97464,1.89015,0.0009406,0.0009406,0.0009406
5,12.7662,0.63662,0.67754,0.99638,1.10969,0.0009208,0.0009208,0.0009208
6,14.0142,0.59044,0.6558,1,1.07543,0.000901,0.000901,0.000901
7,15.308,0.56772,0.69928,1,0.95992,0.0008812,0.0008812,0.0008812
8,16.912,0.47591,0.68478,1,1.05496,0.0008614,0.0008614,0.0008614
9,18.3239,0.45309,0.71377,0.99638,1.28398,0.0008416,0.0008416,0.0008416
10,19.9367,0.46045,0.63043,1,1.38828,0.0008218,0.0008218,0.0008218
11,21.2166,0.43127,0.72826,1,1.30394,0.000802,0.000802,0.000802
12,22.5213,0.38387,0.71377,1,1.08583,0.0007822,0.0007822,0.0007822
13,23.9739,0.36271,0.72826,0.99638,0.9846,0.0007624,0.0007624,0.0007624
14,25.1797,0.36523,0.76087,1,0.97551,0.0007426,0.0007426,0.0007426
15,26.5529,0.30733,0.67029,1,1.13731,0.0007228,0.0007228,0.0007228
16,27.8043,0.29392,0.73913,0.99275,1.18733,0.000703,0.000703,0.000703
17,29.2274,0.29766,0.69928,1,1.33481,0.0006832,0.0006832,0.0006832
18,30.6225,0.29244,0.74638,1,1.10138,0.0006634,0.0006634,0.0006634
19,32.2141,0.26156,0.72826,1,1.20066,0.0006436,0.0006436,0.0006436
20,33.6783,0.28467,0.71014,1,1.15581,0.0006238,0.0006238,0.0006238
21,34.9374,0.29291,0.73913,1,0.99808,0.000604,0.000604,0.000604
22,36.1581,0.24086,0.72826,0.99275,1.36703,0.0005842,0.0005842,0.0005842
23,37.6093,0.18683,0.73188,0.99275,1.07058,0.0005644,0.0005644,0.0005644
24,38.9534,0.20895,0.76812,1,0.93527,0.0005446,0.0005446,0.0005446
25,40.4533,0.16607,0.72464,1,1.20077,0.0005248,0.0005248,0.0005248
26,41.6766,0.14577,0.76449,1,1.09552,0.000505,0.000505,0.000505
27,43.0037,0.18235,0.76812,1,1.17123,0.0004852,0.0004852,0.0004852
28,44.471,0.18361,0.66667,1,1.61816,0.0004654,0.0004654,0.0004654
29,45.9309,0.1471,0.73913,1,1.512,0.0004456,0.0004456,0.0004456
30,47.5072,0.16238,0.76087,1,1.28552,0.0004258,0.0004258,0.0004258
31,48.8809,0.13772,0.76449,1,1.02959,0.000406,0.000406,0.000406
32,50.2622,0.11256,0.73551,1,1.24481,0.0003862,0.0003862,0.0003862
33,51.5781,0.12255,0.75725,1,1.15857,0.0003664,0.0003664,0.0003664
34,53.15,0.1166,0.76449,1,1.06761,0.0003466,0.0003466,0.0003466
35,54.4712,0.11023,0.75,1,1.1159,0.0003268,0.0003268,0.0003268
36,55.6595,0.08725,0.76812,1,1.19232,0.000307,0.000307,0.000307
37,56.9035,0.09369,0.78261,1,1.23671,0.0002872,0.0002872,0.0002872
38,58.3385,0.07624,0.77899,1,1.33215,0.0002674,0.0002674,0.0002674
39,59.7104,0.05968,0.75,1,1.26195,0.0002476,0.0002476,0.0002476
40,61.3521,0.07205,0.76812,1,1.33073,0.0002278,0.0002278,0.0002278
41,65.2514,0.08033,0.78261,1,1.43825,0.000208,0.000208,0.000208
42,66.7165,0.07541,0.78986,1,1.19389,0.0001882,0.0001882,0.0001882
43,68.1266,0.05262,0.76087,1,1.73879,0.0001684,0.0001684,0.0001684
44,69.5533,0.04864,0.75362,1,1.58184,0.0001486,0.0001486,0.0001486
45,71.0543,0.04909,0.75725,1,1.74553,0.0001288,0.0001288,0.0001288
46,72.5302,0.07386,0.76812,1,1.36494,0.000109,0.000109,0.000109
47,74.5279,0.06039,0.77899,1,1.26222,8.92e-05,8.92e-05,8.92e-05
48,75.9675,0.06665,0.78261,1,1.47245,6.94e-05,6.94e-05,6.94e-05
49,77.4556,0.06672,0.77899,1,1.49198,4.96e-05,4.96e-05,4.96e-05
50,78.7859,0.06876,0.77536,1,1.7113,2.98e-05,2.98e-05,2.98e-05
