epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.5319,1.44559,0.61567,0.99254,1.14021,0.000307692,0.000307692,0.000307692
2,3.26519,0.86693,0.66418,0.99627,0.81497,0.000628333,0.000628333,0.000628333
3,4.57604,0.65752,0.66418,1,0.94328,0.000935774,0.000935774,0.000935774
4,6.1061,0.61089,0.75373,0.99627,0.61399,0.0009406,0.0009406,0.0009406
5,7.60545,0.56619,0.72015,0.99627,0.87089,0.0009208,0.0009208,0.0009208
6,9.13098,0.5686,0.78358,0.99627,0.60671,0.000901,0.000901,0.000901
7,10.7346,0.48943,0.72761,0.99627,1.00579,0.0008812,0.0008812,0.0008812
8,12.2166,0.48664,0.72761,1,0.67199,0.0008614,0.0008614,0.0008614
9,13.7973,0.41539,0.77985,0.99627,0.4823,0.0008416,0.0008416,0.0008416
10,15.2856,0.41547,0.74627,0.99254,0.66532,0.0008218,0.0008218,0.0008218
11,16.6755,0.39081,0.77985,1,0.72105,0.000802,0.000802,0.000802
12,18.1055,0.33353,0.72388,1,0.69387,0.0007822,0.0007822,0.0007822
13,19.5001,0.34725,0.80224,1,0.72716,0.0007624,0.0007624,0.0007624
14,20.939,0.34078,0.67164,1,1.21271,0.0007426,0.0007426,0.0007426
15,22.2202,0.28818,0.81716,1,0.5468,0.0007228,0.0007228,0.0007228
16,23.581,0.27974,0.74627,0.99627,0.65815,0.000703,0.000703,0.000703
17,25.1218,0.23769,0.78358,0.99627,0.56041,0.0006832,0.0006832,0.0006832
18,26.662,0.23174,0.70896,1,0.94098,0.0006634,0.0006634,0.0006634
19,28.2883,0.22049,0.8097,1,0.7391,0.0006436,0.0006436,0.0006436
20,29.6718,0.24458,0.77612,1,1.06757,0.0006238,0.0006238,0.0006238
21,31.1412,0.23625,0.64552,0.99254,0.98232,0.000604,0.000604,0.000604
22,32.5177,0.17122,0.71269,0.99254,0.96109,0.0005842,0.0005842,0.0005842
23,33.8629,0.20716,0.73881,1,1.01005,0.0005644,0.0005644,0.0005644
24,35.1615,0.2192,0.77985,0.99254,0.83962,0.0005446,0.0005446,0.0005446
25,36.4619,0.1283,0.76493,0.99627,0.58004,0.0005248,0.0005248,0.0005248
26,37.7215,0.16734,0.77985,0.99627,1.27294,0.000505,0.000505,0.000505
27,39.0653,0.17116,0.71642,1,1.11326,0.0004852,0.0004852,0.0004852
28,40.518,0.14789,0.79478,0.99627,0.71695,0.0004654,0.0004654,0.0004654
29,41.9812,0.11191,0.78731,0.99627,0.97818,0.0004456,0.0004456,0.0004456
30,43.4632,0.1027,0.80224,0.99627,1.00295,0.0004258,0.0004258,0.0004258
