epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.99489,1.53173,0.58209,0.98507,1.17866,0.000307692,0.000307692,0.000307692
2,3.98832,0.92647,0.72015,0.99627,0.84849,0.000628333,0.000628333,0.000628333
3,5.38817,0.66065,0.72761,0.99627,0.74068,0.000935774,0.000935774,0.000935774
4,6.95987,0.58097,0.61567,0.99254,0.93684,0.0009406,0.0009406,0.0009406
5,8.60615,0.56135,0.6194,0.99254,1.2226,0.0009208,0.0009208,0.0009208
6,10.054,0.56269,0.76866,0.99627,0.73092,0.000901,0.000901,0.000901
7,11.3797,0.48933,0.6791,0.99627,0.79435,0.0008812,0.0008812,0.0008812
8,12.795,0.45631,0.75746,0.99627,0.72481,0.0008614,0.0008614,0.0008614
9,14.2684,0.39875,0.75373,0.99627,0.52068,0.0008416,0.0008416,0.0008416
10,15.7417,0.36876,0.75746,0.99254,0.80412,0.0008218,0.0008218,0.0008218
11,17.1993,0.37061,0.75,0.99627,0.75243,0.000802,0.000802,0.000802
12,18.684,0.32454,0.72015,0.99627,0.67507,0.0007822,0.0007822,0.0007822
13,20.071,0.34658,0.78731,0.99254,0.79562,0.0007624,0.0007624,0.0007624
14,21.4756,0.30987,0.66418,0.99627,1.36997,0.0007426,0.0007426,0.0007426
15,22.7651,0.2546,0.75373,0.99627,0.78099,0.0007228,0.0007228,0.0007228
16,24.1608,0.28331,0.79104,0.99627,0.47969,0.000703,0.000703,0.000703
17,25.5382,0.25652,0.76866,0.99627,0.58806,0.0006832,0.0006832,0.0006832
18,26.9512,0.2179,0.76493,0.99627,0.96403,0.0006634,0.0006634,0.0006634
19,28.4271,0.18422,0.73134,0.99627,0.81785,0.0006436,0.0006436,0.0006436
20,30.1453,0.21847,0.73134,0.99627,0.93996,0.0006238,0.0006238,0.0006238
21,31.5223,0.20569,0.6903,0.99254,1.08046,0.000604,0.000604,0.000604
22,32.9759,0.1511,0.74254,0.99254,1.04372,0.0005842,0.0005842,0.0005842
23,34.3187,0.20373,0.78358,0.99627,0.83303,0.0005644,0.0005644,0.0005644
24,35.6613,0.20937,0.79478,0.99627,1.03296,0.0005446,0.0005446,0.0005446
25,37.0887,0.13855,0.76119,0.99627,0.94509,0.0005248,0.0005248,0.0005248
26,38.4395,0.14919,0.77239,0.99627,0.97065,0.000505,0.000505,0.000505
27,39.9387,0.12878,0.78358,0.99627,0.99284,0.0004852,0.0004852,0.0004852
28,41.286,0.14275,0.76866,1,0.70667,0.0004654,0.0004654,0.0004654
29,42.7933,0.10767,0.80224,0.99627,1.04153,0.0004456,0.0004456,0.0004456
30,44.4053,0.10794,0.80224,0.99627,1.01377,0.0004258,0.0004258,0.0004258
31,45.9495,0.12492,0.79104,0.99627,0.82223,0.000406,0.000406,0.000406
32,47.1682,0.10915,0.76493,0.99627,0.79702,0.0003862,0.0003862,0.0003862
33,48.5032,0.09504,0.78731,0.99627,0.78164,0.0003664,0.0003664,0.0003664
34,49.9125,0.08723,0.76866,0.99627,0.96869,0.0003466,0.0003466,0.0003466
35,51.2611,0.0714,0.81343,0.99627,0.7904,0.0003268,0.0003268,0.0003268
36,52.708,0.07272,0.80597,0.99627,1.02936,0.000307,0.000307,0.000307
37,54.085,0.05981,0.79104,0.99627,0.744,0.0002872,0.0002872,0.0002872
38,55.3832,0.09088,0.8209,0.99627,1.09361,0.0002674,0.0002674,0.0002674
39,56.8586,0.07967,0.81716,0.99627,0.96897,0.0002476,0.0002476,0.0002476
40,58.5098,0.05678,0.8209,0.99627,0.77294,0.0002278,0.0002278,0.0002278
41,62.5919,0.07676,0.77985,0.99254,1.11808,0.000208,0.000208,0.000208
42,64.3846,0.07279,0.77985,0.99627,1.1306,0.0001882,0.0001882,0.0001882
43,66.2809,0.05959,0.78731,0.99627,0.9916,0.0001684,0.0001684,0.0001684
44,67.6947,0.0423,0.79478,0.99627,1.17648,0.0001486,0.0001486,0.0001486
45,69.0902,0.05597,0.80597,0.99627,0.95744,0.0001288,0.0001288,0.0001288
46,70.4293,0.04957,0.80597,0.99627,0.66385,0.000109,0.000109,0.000109
47,72.0412,0.04009,0.80597,0.99627,0.75179,8.92e-05,8.92e-05,8.92e-05
48,73.6649,0.03855,0.80224,0.99627,0.79524,6.94e-05,6.94e-05,6.94e-05
49,75.2819,0.05287,0.8097,0.99627,1.2399,4.96e-05,4.96e-05,4.96e-05
50,76.6857,0.04303,0.81343,0.99627,0.88022,2.98e-05,2.98e-05,2.98e-05
