epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.44908,1.3877,0.57529,0.99228,0.98021,0.000307692,0.000307692,0.000307692
2,6.29744,0.86582,0.6834,1,0.65534,0.000628333,0.000628333,0.000628333
3,7.81153,0.73387,0.66795,0.99614,1.07288,0.000935774,0.000935774,0.000935774
4,9.01691,0.66343,0.57529,0.99614,0.81174,0.0009406,0.0009406,0.0009406
5,10.5136,0.61142,0.67568,1,0.61551,0.0009208,0.0009208,0.0009208
6,11.8446,0.55699,0.62162,0.99614,1.21267,0.000901,0.000901,0.000901
7,13.27,0.54545,0.71429,1,1.69712,0.0008812,0.0008812,0.0008812
8,14.7297,0.57815,0.69498,1,0.69893,0.0008614,0.0008614,0.0008614
9,16.3328,0.49461,0.72201,0.99614,1.08804,0.0008416,0.0008416,0.0008416
10,17.8666,0.4551,0.66795,1,0.85071,0.0008218,0.0008218,0.0008218
11,19.123,0.41357,0.71815,1,1.19948,0.000802,0.000802,0.000802
12,20.6137,0.39722,0.67954,0.99614,1.14036,0.0007822,0.0007822,0.0007822
13,22.0293,0.4311,0.73745,0.99614,0.92437,0.0007624,0.0007624,0.0007624
14,23.3772,0.36929,0.67954,0.99614,0.93653,0.0007426,0.0007426,0.0007426
15,24.8333,0.36053,0.7027,0.99614,0.66758,0.0007228,0.0007228,0.0007228
16,26.1917,0.28967,0.76448,1,0.52857,0.000703,0.000703,0.000703
17,27.772,0.28756,0.63707,0.99614,0.74264,0.0006832,0.0006832,0.0006832
18,29.1735,0.27268,0.6834,0.99614,0.66748,0.0006634,0.0006634,0.0006634
19,30.5441,0.26975,0.69112,1,1.2349,0.0006436,0.0006436,0.0006436
20,32.1273,0.24557,0.64865,0.99614,1.10164,0.0006238,0.0006238,0.0006238
21,33.5539,0.20804,0.72201,0.99614,0.62142,0.000604,0.000604,0.000604
22,34.8226,0.19833,0.63707,0.99614,1.6622,0.0005842,0.0005842,0.0005842
23,36.1647,0.21428,0.71815,0.99614,1.13452,0.0005644,0.0005644,0.0005644
24,37.6816,0.21018,0.72973,0.99614,0.74778,0.0005446,0.0005446,0.0005446
25,38.9793,0.15453,0.68726,1,0.61446,0.0005248,0.0005248,0.0005248
26,40.398,0.16068,0.71815,1,0.67117,0.000505,0.000505,0.000505
27,41.8551,0.1829,0.74903,0.99614,1.44827,0.0004852,0.0004852,0.0004852
28,43.2884,0.16619,0.69884,0.99614,0.80128,0.0004654,0.0004654,0.0004654
29,44.839,0.14939,0.67181,1,1.55221,0.0004456,0.0004456,0.0004456
30,46.3209,0.1354,0.74903,0.99614,0.88067,0.0004258,0.0004258,0.0004258
31,47.7817,0.13513,0.72201,0.99228,0.70557,0.000406,0.000406,0.000406
