epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.79121,1.43637,0.57143,0.99248,0.93615,0.000307692,0.000307692,0.000307692
2,3.75005,0.87621,0.7594,0.99248,0.7789,0.000628333,0.000628333,0.000628333
3,5.32636,0.66419,0.6391,0.99624,1.14262,0.000935774,0.000935774,0.000935774
4,6.83362,0.62692,0.71805,1,0.84568,0.0009406,0.0009406,0.0009406
5,8.39177,0.54495,0.70677,1,0.78119,0.0009208,0.0009208,0.0009208
6,9.83921,0.59985,0.68045,0.99624,0.992,0.000901,0.000901,0.000901
7,11.1243,0.60053,0.77444,1,0.73243,0.0008812,0.0008812,0.0008812
8,12.5659,0.46335,0.67669,1,0.95425,0.0008614,0.0008614,0.0008614
9,13.9686,0.43557,0.79323,1,0.6828,0.0008416,0.0008416,0.0008416
10,15.4467,0.39917,0.78195,1,0.62868,0.0008218,0.0008218,0.0008218
11,17.0722,0.41894,0.76692,1,0.68715,0.000802,0.000802,0.000802
12,18.584,0.40784,0.73684,1,0.9164,0.0007822,0.0007822,0.0007822
13,19.9769,0.34045,0.65038,1,1.13955,0.0007624,0.0007624,0.0007624
14,21.3797,0.33494,0.7782,1,0.7822,0.0007426,0.0007426,0.0007426
15,22.7539,0.27932,0.79323,1,1.24224,0.0007228,0.0007228,0.0007228
16,24.1898,0.25984,0.78947,1,0.73996,0.000703,0.000703,0.000703
17,25.531,0.24838,0.78947,1,0.86505,0.0006832,0.0006832,0.0006832
18,26.8833,0.27195,0.7594,1,0.7095,0.0006634,0.0006634,0.0006634
19,28.2208,0.27601,0.73684,1,0.86391,0.0006436,0.0006436,0.0006436
20,29.7039,0.25324,0.78195,1,0.57055,0.0006238,0.0006238,0.0006238
21,31.0907,0.20904,0.79323,1,1.02379,0.000604,0.000604,0.000604
22,32.649,0.21307,0.73684,1,1.02121,0.0005842,0.0005842,0.0005842
23,33.9961,0.1914,0.72932,1,0.86122,0.0005644,0.0005644,0.0005644
24,35.3092,0.18509,0.77444,1,1.45743,0.0005446,0.0005446,0.0005446
