epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.59271,1.45335,0.62044,0.9854,0.9783,0.000307692,0.000307692,0.000307692
2,3.15552,0.931,0.68248,0.99635,0.78605,0.000628333,0.000628333,0.000628333
3,4.71023,0.7168,0.72628,1,0.81338,0.000935774,0.000935774,0.000935774
4,6.3998,0.64178,0.68248,0.9927,0.96505,0.0009406,0.0009406,0.0009406
5,7.78925,0.57296,0.78832,1,0.67208,0.0009208,0.0009208,0.0009208
6,9.50452,0.58588,0.75182,1,0.79575,0.000901,0.000901,0.000901
7,11.1156,0.53759,0.76642,1,0.80746,0.0008812,0.0008812,0.0008812
8,12.6004,0.47825,0.68248,1,0.86222,0.0008614,0.0008614,0.0008614
9,14.0526,0.4049,0.76642,1,0.70893,0.0008416,0.0008416,0.0008416
10,15.334,0.43094,0.72628,1,0.7899,0.0008218,0.0008218,0.0008218
11,16.7217,0.44592,0.79197,1,0.54345,0.000802,0.000802,0.000802
12,18.0123,0.38933,0.80292,1,0.51937,0.0007822,0.0007822,0.0007822
13,19.4584,0.35679,0.65328,1,1.09578,0.0007624,0.0007624,0.0007624
14,20.8403,0.42589,0.75912,1,0.62299,0.0007426,0.0007426,0.0007426
15,22.153,0.37002,0.77372,1,0.69043,0.0007228,0.0007228,0.0007228
16,23.6751,0.31167,0.77372,1,0.68492,0.000703,0.000703,0.000703
17,25.5037,0.29794,0.77372,1,0.64235,0.0006832,0.0006832,0.0006832
18,26.9535,0.32049,0.68978,1,1.34121,0.0006634,0.0006634,0.0006634
19,28.4377,0.26806,0.77737,1,0.6744,0.0006436,0.0006436,0.0006436
20,29.8253,0.27296,0.78102,1,0.64235,0.0006238,0.0006238,0.0006238
21,31.2364,0.22625,0.79197,1,0.62025,0.000604,0.000604,0.000604
22,32.7023,0.19906,0.79562,1,0.74974,0.0005842,0.0005842,0.0005842
23,34.1786,0.19344,0.78102,1,0.87283,0.0005644,0.0005644,0.0005644
24,35.5847,0.1822,0.78467,1,0.87129,0.0005446,0.0005446,0.0005446
25,37.0327,0.17707,0.77007,1,0.72745,0.0005248,0.0005248,0.0005248
26,38.5539,0.18725,0.79197,1,0.60467,0.000505,0.000505,0.000505
27,40.164,0.19881,0.78102,1,0.69574,0.0004852,0.0004852,0.0004852
