epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.93788,1.4975,0.63139,0.9854,0.96393,0.000307692,0.000307692,0.000307692
2,3.68422,0.98152,0.65328,0.99635,0.75355,0.000628333,0.000628333,0.000628333
3,5.41066,0.74479,0.67153,1,1.29618,0.000935774,0.000935774,0.000935774
4,7.05731,0.7062,0.74453,0.99635,0.74761,0.0009406,0.0009406,0.0009406
5,8.72039,0.62298,0.75182,1,0.70594,0.0009208,0.0009208,0.0009208
6,10.2487,0.59656,0.64964,0.99635,0.88027,0.000901,0.000901,0.000901
7,11.7214,0.55112,0.55474,1,1.00418,0.0008812,0.0008812,0.0008812
8,13.2229,0.49993,0.69343,1,0.84557,0.0008614,0.0008614,0.0008614
9,14.6888,0.44508,0.73723,1,0.87712,0.0008416,0.0008416,0.0008416
10,15.9879,0.48874,0.75912,1,0.63168,0.0008218,0.0008218,0.0008218
11,17.4672,0.46563,0.77737,1,0.58557,0.000802,0.000802,0.000802
12,18.9917,0.41985,0.74088,1,0.74756,0.0007822,0.0007822,0.0007822
13,20.4011,0.37574,0.63504,1,1.11002,0.0007624,0.0007624,0.0007624
14,21.8687,0.38634,0.75547,1,0.71602,0.0007426,0.0007426,0.0007426
15,23.4637,0.34341,0.74088,1,1.15834,0.0007228,0.0007228,0.0007228
16,24.9867,0.3019,0.70073,1,0.81203,0.000703,0.000703,0.000703
17,26.684,0.26048,0.73723,1,0.91277,0.0006832,0.0006832,0.0006832
18,27.8973,0.27301,0.79197,1,0.70916,0.0006634,0.0006634,0.0006634
19,29.2864,0.23608,0.72628,1,0.8927,0.0006436,0.0006436,0.0006436
20,30.6434,0.24988,0.74453,1,1.12701,0.0006238,0.0006238,0.0006238
21,32.0325,0.2164,0.77372,1,0.84881,0.000604,0.000604,0.000604
22,33.5731,0.22009,0.72628,1,1.07262,0.0005842,0.0005842,0.0005842
23,35.0255,0.19392,0.78467,1,0.87213,0.0005644,0.0005644,0.0005644
24,36.7754,0.18789,0.78102,1,0.71369,0.0005446,0.0005446,0.0005446
25,38.3517,0.17281,0.75912,1,0.72589,0.0005248,0.0005248,0.0005248
26,39.9461,0.17128,0.75912,1,0.69736,0.000505,0.000505,0.000505
27,41.3513,0.18882,0.76277,1,0.8879,0.0004852,0.0004852,0.0004852
28,42.8358,0.12913,0.78102,1,0.67109,0.0004654,0.0004654,0.0004654
29,44.111,0.13949,0.76642,1,0.92465,0.0004456,0.0004456,0.0004456
30,45.5619,0.14823,0.79927,1,0.71034,0.0004258,0.0004258,0.0004258
31,46.9513,0.12754,0.78467,1,0.62061,0.000406,0.000406,0.000406
32,48.3617,0.10546,0.77007,1,0.91065,0.0003862,0.0003862,0.0003862
33,49.781,0.09037,0.80657,1,0.76035,0.0003664,0.0003664,0.0003664
34,51.4415,0.09152,0.77007,1,0.83006,0.0003466,0.0003466,0.0003466
35,52.9237,0.09025,0.77007,1,0.83411,0.0003268,0.0003268,0.0003268
36,54.6086,0.08145,0.79562,1,1.05271,0.000307,0.000307,0.000307
37,56.1002,0.07639,0.79197,1,0.71134,0.0002872,0.0002872,0.0002872
38,57.4864,0.07229,0.79562,1,0.72516,0.0002674,0.0002674,0.0002674
39,58.728,0.06913,0.78102,1,0.95127,0.0002476,0.0002476,0.0002476
40,60.2535,0.07716,0.78467,1,0.89249,0.0002278,0.0002278,0.0002278
41,64.4921,0.07922,0.76642,1,0.85999,0.000208,0.000208,0.000208
42,66.1657,0.07671,0.76642,1,0.92492,0.0001882,0.0001882,0.0001882
43,67.9509,0.05265,0.77372,1,0.88234,0.0001684,0.0001684,0.0001684
44,69.5871,0.06914,0.77737,1,1.01566,0.0001486,0.0001486,0.0001486
45,70.9316,0.05597,0.79197,1,0.9636,0.0001288,0.0001288,0.0001288
46,72.3365,0.0476,0.78102,1,0.76662,0.000109,0.000109,0.000109
47,73.7778,0.06967,0.76642,1,0.90808,8.92e-05,8.92e-05,8.92e-05
48,75.3138,0.03987,0.77372,1,1.18365,6.94e-05,6.94e-05,6.94e-05
