epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.89894,1.49639,0.56015,0.98496,0.9759,0.000307692,0.000307692,0.000307692
2,3.52306,0.90099,0.7218,0.99248,0.78383,0.000628333,0.000628333,0.000628333
3,5.21165,0.63628,0.75188,0.99624,0.91263,0.000935774,0.000935774,0.000935774
4,6.63444,0.60634,0.81579,1,0.55682,0.0009406,0.0009406,0.0009406
5,8.1847,0.49845,0.75188,0.99624,0.9903,0.0009208,0.0009208,0.0009208
6,9.78365,0.48731,0.79699,1,0.53056,0.000901,0.000901,0.000901
7,11.3737,0.49928,0.77444,1,0.73765,0.0008812,0.0008812,0.0008812
8,12.9563,0.42604,0.7218,1,0.81901,0.0008614,0.0008614,0.0008614
9,14.3057,0.44522,0.81579,1,0.5661,0.0008416,0.0008416,0.0008416
10,15.6951,0.38648,0.78947,1,0.56455,0.0008218,0.0008218,0.0008218
11,17.0143,0.34033,0.79323,1,0.59397,0.000802,0.000802,0.000802
12,18.4165,0.31682,0.77444,1,0.59236,0.0007822,0.0007822,0.0007822
13,19.844,0.32023,0.78195,1,0.9333,0.0007624,0.0007624,0.0007624
14,21.1355,0.27223,0.79699,1,0.76042,0.0007426,0.0007426,0.0007426
15,22.5195,0.25401,0.7594,1,1.02186,0.0007228,0.0007228,0.0007228
16,24.2534,0.27041,0.71429,0.99624,1.17955,0.000703,0.000703,0.000703
17,25.8862,0.22534,0.72556,0.99624,0.89796,0.0006832,0.0006832,0.0006832
18,27.2629,0.2016,0.78947,0.9812,0.66604,0.0006634,0.0006634,0.0006634
19,28.6085,0.21608,0.77068,0.99248,0.8568,0.0006436,0.0006436,0.0006436
