epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.87251,1.44127,0.59701,0.99254,1.09544,0.000307692,0.000307692,0.000307692
2,3.52611,0.89581,0.63806,0.99254,0.79848,0.000628333,0.000628333,0.000628333
3,5.04381,0.70308,0.74627,0.99627,0.87523,0.000935774,0.000935774,0.000935774
4,6.93852,0.66766,0.75746,0.99627,0.48874,0.0009406,0.0009406,0.0009406
5,8.64483,0.62519,0.58209,0.99627,1.26721,0.0009208,0.0009208,0.0009208
6,10.1602,0.62235,0.74254,0.99627,0.83393,0.000901,0.000901,0.000901
7,11.4026,0.56129,0.75746,1,0.72862,0.0008812,0.0008812,0.0008812
8,12.691,0.59243,0.75373,0.99627,0.64246,0.0008614,0.0008614,0.0008614
9,14.0473,0.50049,0.77985,0.99254,0.4528,0.0008416,0.0008416,0.0008416
10,15.532,0.47002,0.76119,0.99254,0.61069,0.0008218,0.0008218,0.0008218
11,16.8609,0.51046,0.77985,1,0.55467,0.000802,0.000802,0.000802
12,18.3458,0.45806,0.79104,0.99627,0.56378,0.0007822,0.0007822,0.0007822
13,19.7651,0.41612,0.79104,0.99627,0.62074,0.0007624,0.0007624,0.0007624
14,21.3276,0.41076,0.80224,1,0.69393,0.0007426,0.0007426,0.0007426
15,22.9909,0.3354,0.79851,0.99627,0.47331,0.0007228,0.0007228,0.0007228
16,24.371,0.35811,0.6306,1,1.17533,0.000703,0.000703,0.000703
17,25.754,0.30855,0.77239,1,0.55062,0.0006832,0.0006832,0.0006832
18,27.0719,0.33461,0.77239,0.99627,0.68839,0.0006634,0.0006634,0.0006634
19,28.3106,0.28616,0.78358,1,0.66376,0.0006436,0.0006436,0.0006436
20,29.6697,0.28773,0.8209,1,0.45858,0.0006238,0.0006238,0.0006238
21,31.1445,0.28529,0.79104,0.99254,0.50603,0.000604,0.000604,0.000604
22,32.5317,0.24742,0.81716,0.99627,0.74646,0.0005842,0.0005842,0.0005842
23,33.8753,0.22693,0.79478,1,0.62832,0.0005644,0.0005644,0.0005644
24,35.3421,0.25677,0.79851,1,0.64067,0.0005446,0.0005446,0.0005446
25,36.8325,0.23853,0.82836,1,0.51617,0.0005248,0.0005248,0.0005248
26,38.6066,0.20996,0.8209,1,0.75825,0.000505,0.000505,0.000505
27,39.987,0.17438,0.83209,1,0.63291,0.0004852,0.0004852,0.0004852
28,41.2813,0.18947,0.81343,1,0.66787,0.0004654,0.0004654,0.0004654
29,42.6294,0.16666,0.8097,0.99627,0.79067,0.0004456,0.0004456,0.0004456
30,44.0014,0.1738,0.81343,1,0.68398,0.0004258,0.0004258,0.0004258
31,45.2064,0.17893,0.79478,1,0.73539,0.000406,0.000406,0.000406
32,46.4654,0.14541,0.81343,0.99627,0.69649,0.0003862,0.0003862,0.0003862
33,48.2496,0.14537,0.80597,0.99627,0.58921,0.0003664,0.0003664,0.0003664
34,49.6104,0.1196,0.8097,1,1.03633,0.0003466,0.0003466,0.0003466
35,51.1203,0.11892,0.8209,0.99627,0.91814,0.0003268,0.0003268,0.0003268
36,52.5939,0.1158,0.80597,0.99627,0.96091,0.000307,0.000307,0.000307
37,53.8754,0.08507,0.81716,1,0.59633,0.0002872,0.0002872,0.0002872
38,55.3197,0.11306,0.80597,0.99627,0.81445,0.0002674,0.0002674,0.0002674
39,56.7091,0.10926,0.83209,1,0.76188,0.0002476,0.0002476,0.0002476
40,58.0937,0.12025,0.8209,0.99627,0.6128,0.0002278,0.0002278,0.0002278
41,61.6989,0.10573,0.8097,1,0.99621,0.000208,0.000208,0.000208
42,63.3718,0.12273,0.80597,0.99627,1.00157,0.0001882,0.0001882,0.0001882
