epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.36203,1.48297,0.52174,0.96377,1.24949,0.000307692,0.000307692,0.000307692
2,3.96859,0.947,0.64493,0.97464,1.08833,0.000628333,0.000628333,0.000628333
3,5.57376,0.70941,0.67029,0.98551,1.04181,0.000935774,0.000935774,0.000935774
4,7.21917,0.623,0.5942,0.99638,1.42176,0.0009406,0.0009406,0.0009406
5,8.55011,0.58117,0.71014,1,0.87907,0.0009208,0.0009208,0.0009208
6,10.1801,0.5685,0.68116,1,0.88861,0.000901,0.000901,0.000901
7,11.3691,0.53666,0.67754,1,1.03625,0.0008812,0.0008812,0.0008812
8,12.7774,0.46262,0.67754,1,0.89227,0.0008614,0.0008614,0.0008614
9,14.2672,0.42104,0.66667,0.99275,0.94424,0.0008416,0.0008416,0.0008416
10,15.8782,0.43486,0.68116,1,1.09611,0.0008218,0.0008218,0.0008218
11,17.2572,0.41972,0.74275,1,1.53247,0.000802,0.000802,0.000802
12,18.6861,0.3307,0.72826,1,1.12363,0.0007822,0.0007822,0.0007822
13,20.1388,0.34801,0.72101,0.99638,1.12413,0.0007624,0.0007624,0.0007624
14,21.5293,0.35259,0.68116,1,1.24786,0.0007426,0.0007426,0.0007426
15,22.9147,0.33134,0.69565,0.99275,1.36073,0.0007228,0.0007228,0.0007228
16,24.3188,0.32879,0.73913,0.99275,1.18205,0.000703,0.000703,0.000703
17,25.6806,0.31419,0.64855,1,1.25423,0.0006832,0.0006832,0.0006832
18,27.1111,0.28189,0.72826,1,1.00057,0.0006634,0.0006634,0.0006634
19,28.7753,0.26302,0.69565,1,1.5328,0.0006436,0.0006436,0.0006436
20,30.1802,0.26774,0.72826,1,1.27197,0.0006238,0.0006238,0.0006238
21,31.5694,0.26309,0.71014,1,1.20068,0.000604,0.000604,0.000604
22,32.9153,0.22456,0.72101,0.99638,1.41266,0.0005842,0.0005842,0.0005842
23,34.2271,0.19042,0.73188,0.99638,0.99586,0.0005644,0.0005644,0.0005644
24,35.6886,0.18996,0.73913,1,1.00285,0.0005446,0.0005446,0.0005446
25,37.0421,0.17709,0.73551,1,1.23245,0.0005248,0.0005248,0.0005248
26,38.5077,0.14572,0.72826,1,1.07446,0.000505,0.000505,0.000505
