epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.57118,1.50494,0.59846,0.99228,1.06043,0.000307692,0.000307692,0.000307692
2,3.52432,0.89215,0.70656,1,0.65126,0.000628333,0.000628333,0.000628333
3,5.52715,0.68876,0.69498,1,0.63955,0.000935774,0.000935774,0.000935774
4,7.31539,0.60864,0.74903,1,0.57816,0.0009406,0.0009406,0.0009406
5,8.87,0.51833,0.72973,1,0.60241,0.0009208,0.0009208,0.0009208
6,10.3563,0.54938,0.73359,1,0.63925,0.000901,0.000901,0.000901
7,11.5312,0.48538,0.71815,1,1.58789,0.0008812,0.0008812,0.0008812
8,12.8635,0.47679,0.74131,1,0.53974,0.0008614,0.0008614,0.0008614
9,14.1937,0.42035,0.73745,1,0.62207,0.0008416,0.0008416,0.0008416
10,15.6481,0.39711,0.71429,0.99614,0.90803,0.0008218,0.0008218,0.0008218
11,17.1019,0.35922,0.79151,1,1.37504,0.000802,0.000802,0.000802
12,18.8324,0.36849,0.79151,0.99228,0.77832,0.0007822,0.0007822,0.0007822
13,20.2346,0.35483,0.76834,1,1.26039,0.0007624,0.0007624,0.0007624
14,21.685,0.33199,0.63707,1,0.77269,0.0007426,0.0007426,0.0007426
15,23.1259,0.30037,0.68726,0.99228,1.27726,0.0007228,0.0007228,0.0007228
16,24.405,0.28624,0.72587,1,0.7555,0.000703,0.000703,0.000703
17,25.8141,0.22847,0.78378,1,0.50353,0.0006832,0.0006832,0.0006832
18,27.3222,0.29384,0.80695,1,0.53985,0.0006634,0.0006634,0.0006634
19,28.7057,0.2507,0.74903,0.99614,0.99482,0.0006436,0.0006436,0.0006436
20,30.161,0.25635,0.75676,1,0.55095,0.0006238,0.0006238,0.0006238
21,31.6897,0.24153,0.80309,1,0.593,0.000604,0.000604,0.000604
22,33.1377,0.18396,0.76062,1,1.29958,0.0005842,0.0005842,0.0005842
23,34.5803,0.17563,0.7529,0.99614,0.64755,0.0005644,0.0005644,0.0005644
24,35.945,0.20005,0.73359,0.99614,1.25505,0.0005446,0.0005446,0.0005446
25,37.5353,0.13226,0.77992,0.99614,0.65381,0.0005248,0.0005248,0.0005248
26,38.9646,0.12673,0.79537,0.99614,0.72403,0.000505,0.000505,0.000505
27,40.3408,0.16112,0.78764,1,1.56477,0.0004852,0.0004852,0.0004852
28,41.603,0.13985,0.79151,1,0.65081,0.0004654,0.0004654,0.0004654
29,42.9511,0.12087,0.80309,1,0.71006,0.0004456,0.0004456,0.0004456
30,44.3243,0.11396,0.80309,1,0.57952,0.0004258,0.0004258,0.0004258
31,45.7754,0.12113,0.78764,1,0.56664,0.000406,0.000406,0.000406
32,47.3326,0.11601,0.79537,1,0.89623,0.0003862,0.0003862,0.0003862
33,48.7598,0.08968,0.80695,1,0.61215,0.0003664,0.0003664,0.0003664
