epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.37448,1.50712,0.54348,0.96739,1.32337,0.000307692,0.000307692,0.000307692
2,3.9414,0.92809,0.67029,0.99275,0.95199,0.000628333,0.000628333,0.000628333
3,5.59568,0.61324,0.69928,0.99638,1.01991,0.000935774,0.000935774,0.000935774
4,6.99514,0.54947,0.63406,0.98551,1.05393,0.0009406,0.0009406,0.0009406
5,8.504,0.58596,0.53986,1,1.75447,0.0009208,0.0009208,0.0009208
6,9.94353,0.51206,0.71377,1,0.73894,0.000901,0.000901,0.000901
7,11.4552,0.49428,0.61957,0.99638,1.22983,0.0008812,0.0008812,0.0008812
8,12.9918,0.43038,0.68841,1,1.10276,0.0008614,0.0008614,0.0008614
9,14.6418,0.39968,0.72826,1,0.97054,0.0008416,0.0008416,0.0008416
10,16.0939,0.36827,0.73188,1,1.31019,0.0008218,0.0008218,0.0008218
11,17.6781,0.31638,0.71377,1,0.85945,0.000802,0.000802,0.000802
12,18.9419,0.31486,0.69565,1,1.18198,0.0007822,0.0007822,0.0007822
13,20.2266,0.34487,0.69203,1,1.20068,0.0007624,0.0007624,0.0007624
14,21.703,0.32974,0.70652,1,1.03792,0.0007426,0.0007426,0.0007426
15,23.0605,0.28786,0.78986,1,0.93645,0.0007228,0.0007228,0.0007228
16,24.4388,0.24283,0.73913,1,1.20734,0.000703,0.000703,0.000703
17,25.7673,0.25762,0.72101,1,1.03979,0.0006832,0.0006832,0.0006832
18,27.2225,0.26392,0.74275,1,0.91668,0.0006634,0.0006634,0.0006634
19,28.6375,0.26638,0.72464,1,1.26149,0.0006436,0.0006436,0.0006436
20,30.1982,0.22534,0.72464,1,1.07588,0.0006238,0.0006238,0.0006238
21,31.6501,0.22361,0.76087,1,0.85296,0.000604,0.000604,0.000604
22,32.968,0.1791,0.76087,0.99275,1.35516,0.0005842,0.0005842,0.0005842
23,34.408,0.15136,0.78261,1,0.87538,0.0005644,0.0005644,0.0005644
24,35.7006,0.18125,0.76812,1,1.04752,0.0005446,0.0005446,0.0005446
25,37.0735,0.15785,0.77536,1,1.22239,0.0005248,0.0005248,0.0005248
26,38.4386,0.13551,0.78261,1,0.75027,0.000505,0.000505,0.000505
27,39.8231,0.14217,0.74275,1,1.09649,0.0004852,0.0004852,0.0004852
28,41.1537,0.14391,0.75362,0.99638,1.32283,0.0004654,0.0004654,0.0004654
29,42.7122,0.12509,0.74638,1,1.21916,0.0004456,0.0004456,0.0004456
30,44.0931,0.15542,0.75362,1,1.35701,0.0004258,0.0004258,0.0004258
