epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.8205,1.43467,0.58696,0.98551,1.24512,0.000307692,0.000307692,0.000307692
2,3.58638,0.85177,0.68116,0.99638,0.84462,0.000628333,0.000628333,0.000628333
3,5.22287,0.59773,0.65217,0.99638,1.00974,0.000935774,0.000935774,0.000935774
4,6.74866,0.5794,0.74638,0.99638,0.94722,0.0009406,0.0009406,0.0009406
5,8.33304,0.52875,0.71377,0.99275,1.00782,0.0009208,0.0009208,0.0009208
6,9.74831,0.52073,0.72826,1,0.7026,0.000901,0.000901,0.000901
7,11.0496,0.52803,0.72826,1,0.97955,0.0008812,0.0008812,0.0008812
8,12.7445,0.43836,0.78986,1,0.96247,0.0008614,0.0008614,0.0008614
9,14.2631,0.36232,0.73551,1,0.87282,0.0008416,0.0008416,0.0008416
10,15.555,0.3931,0.76449,0.99638,1.24621,0.0008218,0.0008218,0.0008218
11,16.9491,0.37176,0.77174,1,0.97442,0.000802,0.000802,0.000802
12,18.36,0.32496,0.77899,1,0.79047,0.0007822,0.0007822,0.0007822
13,19.7026,0.28403,0.76812,1,0.78238,0.0007624,0.0007624,0.0007624
14,21.1448,0.32868,0.75725,1,0.79843,0.0007426,0.0007426,0.0007426
15,22.4234,0.25316,0.77899,1,0.84465,0.0007228,0.0007228,0.0007228
16,23.8987,0.23887,0.75362,1,1.02749,0.000703,0.000703,0.000703
17,25.2991,0.32933,0.80797,1,0.99929,0.0006832,0.0006832,0.0006832
18,26.6296,0.24157,0.75,1,0.90724,0.0006634,0.0006634,0.0006634
19,28.1671,0.25441,0.76449,1,1.06895,0.0006436,0.0006436,0.0006436
20,29.7348,0.23905,0.78623,0.99638,0.79658,0.0006238,0.0006238,0.0006238
21,31.0966,0.25576,0.78623,1,1.13443,0.000604,0.000604,0.000604
22,32.4416,0.17464,0.79348,1,0.99501,0.0005842,0.0005842,0.0005842
23,33.7938,0.18393,0.75725,1,0.89094,0.0005644,0.0005644,0.0005644
24,35.3326,0.19342,0.74275,1,0.83776,0.0005446,0.0005446,0.0005446
25,36.4901,0.17858,0.78261,1,1.02892,0.0005248,0.0005248,0.0005248
26,37.8173,0.18846,0.81159,0.99638,0.86555,0.000505,0.000505,0.000505
27,39.2525,0.15851,0.76812,1,0.83194,0.0004852,0.0004852,0.0004852
28,40.7089,0.13996,0.76087,1,1.02181,0.0004654,0.0004654,0.0004654
29,42.2459,0.14078,0.77536,0.99638,1.10006,0.0004456,0.0004456,0.0004456
30,43.6833,0.13462,0.78986,1,1.14072,0.0004258,0.0004258,0.0004258
31,45.1066,0.12984,0.7971,0.99638,0.80214,0.000406,0.000406,0.000406
32,46.4819,0.1196,0.7971,0.99638,0.79027,0.0003862,0.0003862,0.0003862
