epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.51023,1.41757,0.58271,0.99248,0.94665,0.000307692,0.000307692,0.000307692
2,6.33893,0.92183,0.69925,1,0.89714,0.000628333,0.000628333,0.000628333
3,7.78013,0.76104,0.37218,0.97368,1.34309,0.000935774,0.000935774,0.000935774
4,9.17733,0.72715,0.70301,1,0.88823,0.0009406,0.0009406,0.0009406
5,10.5197,0.63047,0.68421,1,0.95671,0.0009208,0.0009208,0.0009208
6,11.7553,0.55252,0.70677,1,0.84786,0.000901,0.000901,0.000901
7,13.2078,0.63862,0.69549,1,0.84815,0.0008812,0.0008812,0.0008812
8,14.4391,0.52922,0.73684,1,0.71487,0.0008614,0.0008614,0.0008614
9,15.9769,0.44609,0.75188,1,0.77373,0.0008416,0.0008416,0.0008416
10,17.5793,0.45725,0.69173,1,0.97844,0.0008218,0.0008218,0.0008218
11,18.7433,0.42841,0.75564,1,1.16879,0.000802,0.000802,0.000802
12,20.2287,0.34941,0.67669,1,0.80727,0.0007822,0.0007822,0.0007822
13,21.6153,0.34897,0.7406,1,1.00094,0.0007624,0.0007624,0.0007624
14,22.8831,0.30938,0.73684,1,1.12565,0.0007426,0.0007426,0.0007426
15,24.2263,0.32607,0.69925,1,1.25887,0.0007228,0.0007228,0.0007228
16,25.6113,0.32872,0.65789,1,1.03807,0.000703,0.000703,0.000703
17,26.8973,0.29554,0.72932,1,1.03442,0.0006832,0.0006832,0.0006832
18,28.3401,0.27509,0.73684,0.99624,1.16366,0.0006634,0.0006634,0.0006634
19,29.8058,0.2733,0.69925,1,0.88518,0.0006436,0.0006436,0.0006436
20,31.2831,0.25177,0.66541,0.99624,1.12562,0.0006238,0.0006238,0.0006238
21,32.7182,0.22168,0.71053,1,1.15004,0.000604,0.000604,0.000604
22,34.0775,0.20473,0.74436,0.99624,1.31763,0.0005842,0.0005842,0.0005842
23,35.3575,0.20679,0.71053,0.99624,1.13165,0.0005644,0.0005644,0.0005644
24,36.6028,0.19846,0.72556,0.99624,1.44043,0.0005446,0.0005446,0.0005446
25,37.9332,0.17025,0.73308,0.99624,1.84129,0.0005248,0.0005248,0.0005248
26,39.2058,0.13663,0.72932,1,1.37391,0.000505,0.000505,0.000505
