epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.86396,1.44391,0.60821,0.98507,1.16688,0.000307692,0.000307692,0.000307692
2,3.74881,0.8429,0.70522,0.99627,0.7822,0.000628333,0.000628333,0.000628333
3,5.16566,0.61188,0.76866,0.99627,0.8497,0.000935774,0.000935774,0.000935774
4,6.80374,0.57611,0.77612,0.99627,0.48653,0.0009406,0.0009406,0.0009406
5,8.43832,0.52936,0.80597,0.99627,0.48239,0.0009208,0.0009208,0.0009208
6,9.89293,0.56984,0.76119,0.99627,0.60314,0.000901,0.000901,0.000901
7,11.4079,0.52108,0.76119,1,0.69473,0.0008812,0.0008812,0.0008812
8,12.9996,0.45333,0.81716,0.99627,0.56477,0.0008614,0.0008614,0.0008614
9,14.6728,0.43405,0.79851,0.99627,0.47323,0.0008416,0.0008416,0.0008416
10,16.2591,0.40877,0.75373,0.99627,0.62129,0.0008218,0.0008218,0.0008218
11,17.6918,0.40274,0.76866,1,0.57922,0.000802,0.000802,0.000802
12,19.1191,0.39611,0.81716,0.99627,0.6046,0.0007822,0.0007822,0.0007822
13,20.5847,0.35876,0.79851,0.99627,0.71009,0.0007624,0.0007624,0.0007624
14,22.0392,0.32613,0.74627,1,1.03837,0.0007426,0.0007426,0.0007426
15,23.4964,0.28405,0.82463,0.99627,0.39285,0.0007228,0.0007228,0.0007228
16,24.8232,0.29148,0.73134,1,0.74245,0.000703,0.000703,0.000703
17,26.4621,0.27736,0.80224,0.99627,0.62469,0.0006832,0.0006832,0.0006832
18,27.9745,0.23419,0.78731,0.99627,0.81144,0.0006634,0.0006634,0.0006634
19,29.5441,0.2399,0.81343,0.99627,0.61265,0.0006436,0.0006436,0.0006436
20,30.9519,0.2816,0.77985,0.99627,0.83046,0.0006238,0.0006238,0.0006238
21,32.3784,0.20394,0.8097,0.99627,0.52518,0.000604,0.000604,0.000604
22,33.7279,0.20213,0.76493,0.99627,0.86794,0.0005842,0.0005842,0.0005842
23,35.0679,0.16883,0.80597,0.99627,0.48658,0.0005644,0.0005644,0.0005644
24,36.3932,0.18784,0.79104,0.99627,0.91839,0.0005446,0.0005446,0.0005446
25,37.8256,0.18079,0.81716,0.99254,0.71915,0.0005248,0.0005248,0.0005248
26,39.2292,0.17742,0.79478,0.99627,1.18974,0.000505,0.000505,0.000505
27,40.8061,0.1468,0.80597,0.99627,0.63665,0.0004852,0.0004852,0.0004852
28,42.2675,0.18101,0.79851,0.99627,0.59924,0.0004654,0.0004654,0.0004654
29,43.6887,0.1574,0.80597,0.99627,0.99611,0.0004456,0.0004456,0.0004456
30,45.0051,0.12586,0.82836,0.99254,0.72876,0.0004258,0.0004258,0.0004258
