fold,n_plants,n_sessions,sessions_S1,sessions_S2,sessions_S5,sessions_S6,sessions_S7,sessions_S8
0,22,266,36,4,23,44,121,38
1,18,268,39,4,18,43,126,38
2,24,276,36,11,20,46,125,38
3,18,259,38,4,18,44,117,38
4,19,274,47,6,18,43,122,38
