family,A,B,macro_f1_A,macro_f1_B,d_macro_f1(B-A),d_macro_f1_ci_lo,d_macro_f1_ci_hi,p_boot,balanced_accuracy_A,balanced_accuracy_B,d_balanced_accuracy(B-A),d_balanced_accuracy_ci_lo,d_balanced_accuracy_ci_hi,p_boot_at_floor,p_holm,significant_0.05
yolo26n-cls - yolo11n-cls,yolo11n-cls K1,yolo26n-cls K1,0.5816975232264682,0.6041205965242209,0.022423073297752727,-0.005868638199116085,0.05706016807324854,0.122,0.5761551226083499,0.6004228579555667,0.024267735347216823,-0.002518145580434033,0.05454861126244326,False,0.55,False
yolo26n-cls - yolo11n-cls,yolo11n-cls K2,yolo26n-cls K2,0.635997304459516,0.6217805589968054,-0.014216745462710567,-0.043401380014612814,0.011076870611359464,0.296,0.6297951890495193,0.6211473965642371,-0.008647792485282135,-0.03662618976670556,0.01539584218520082,False,0.8879999999999999,False
yolo26n-cls - yolo11n-cls,yolo11n-cls K3,yolo26n-cls K3,0.602221015388054,0.6211838674076248,0.01896285201957082,-0.004755165932283612,0.043471932002360845,0.11,0.6082166453972945,0.6213112305043987,0.013094585107104262,-0.011275579934948302,0.036609584088243136,False,0.55,False
yolo26n-cls - yolo11n-cls,yolo11n-cls K4,yolo26n-cls K4,0.6247873486100701,0.6168005816031913,-0.007986767006878837,-0.03606987961342035,0.01687698173816592,0.608,0.6239009508964837,0.6182450001246416,-0.005655950771842111,-0.033003722795470744,0.017727564302702628,False,0.8879999999999999,False
yolo26n-cls - yolo11n-cls,yolo11n-cls Füzyon (4K),yolo26n-cls Füzyon (4K),0.6442389696895374,0.6531806078200904,0.008941638130552931,-0.013423038326678386,0.03313532977481182,0.408,0.6432509139784017,0.6514366601721697,0.008185746193767995,-0.013906246889873552,0.031101512812578752,False,0.8879999999999999,False
