family,A,B,macro_f1_A,macro_f1_B,d_macro_f1(B-A),d_macro_f1_ci_lo,d_macro_f1_ci_hi,p_boot,balanced_accuracy_A,balanced_accuracy_B,d_balanced_accuracy(B-A),d_balanced_accuracy_ci_lo,d_balanced_accuracy_ci_hi,p_boot_at_floor,p_holm,significant_0.05
yolo11n-cls: füzyon - tek kamera,yolo11n-cls K1,yolo11n-cls Füzyon (4K),0.5816975232264682,0.6442389696895374,0.06254144646306925,0.042581866609349685,0.08520132268227794,0.0005,0.5761551226083499,0.6432509139784017,0.06709579137005184,0.04701188761102323,0.08982082057337097,True,0.002,True
yolo11n-cls: füzyon - tek kamera,yolo11n-cls K2,yolo11n-cls Füzyon (4K),0.635997304459516,0.6442389696895374,0.008241665230021455,-0.022109586140817376,0.03453947553902942,0.554,0.6297951890495193,0.6432509139784017,0.013455724928882473,-0.014489560147538091,0.03771279626309974,False,0.554,False
yolo11n-cls: füzyon - tek kamera,yolo11n-cls K3,yolo11n-cls Füzyon (4K),0.602221015388054,0.6442389696895374,0.04201795430148347,0.022519173133593303,0.06340461335293737,0.0005,0.6082166453972945,0.6432509139784017,0.03503426858110725,0.015522731888231672,0.05666230455855892,True,0.002,True
yolo11n-cls: füzyon - tek kamera,yolo11n-cls K4,yolo11n-cls Füzyon (4K),0.6247873486100701,0.6442389696895374,0.019451621079467296,-0.0100700002773251,0.046142018135989754,0.179,0.6239009508964837,0.6432509139784017,0.019349963081918053,-0.007341625437095797,0.04377762673944632,False,0.358,False
yolo26n-cls: füzyon - tek kamera,yolo26n-cls K1,yolo26n-cls Füzyon (4K),0.6041205965242209,0.6531806078200904,0.049060011295869455,0.014735626043856979,0.07543598098025073,0.007,0.6004228579555667,0.6514366601721697,0.05101380221660301,0.02520457902410024,0.07299886933855518,False,0.018000000000000002,True
yolo26n-cls: füzyon - tek kamera,yolo26n-cls K2,yolo26n-cls Füzyon (4K),0.6217805589968054,0.6531806078200904,0.031400048823284954,0.009127316976197633,0.054473120971668315,0.007,0.6211473965642371,0.6514366601721697,0.030289263607932604,0.0073303840761701905,0.05448688873024557,False,0.018000000000000002,True
yolo26n-cls: füzyon - tek kamera,yolo26n-cls K3,yolo26n-cls Füzyon (4K),0.6211838674076248,0.6531806078200904,0.031996740412465585,0.008905562961495089,0.05504713293523255,0.006,0.6213112305043987,0.6514366601721697,0.030125429667770987,0.00557879479858508,0.055801015668083265,False,0.018000000000000002,True
yolo26n-cls: füzyon - tek kamera,yolo26n-cls K4,yolo26n-cls Füzyon (4K),0.6168005816031913,0.6531806078200904,0.036380026216899064,0.018250598627179947,0.055152524029185725,0.0005,0.6182450001246416,0.6514366601721697,0.03319166004752816,0.014245167414626869,0.05405959100653966,True,0.002,True
