model,latency_n_sessions,weights_MB_single,weights_MB_fusion,params_M_single,params_M_fusion,GFLOPs_per_image,GFLOPs_fusion_per_session,gpu_single_ms_median,gpu_single_ms_p90,gpu_fusion_ms_median,gpu_fusion_ms_p90,gpu_single_sessions_per_s,gpu_fusion_sessions_per_s,cpu_single_ms_median,cpu_single_ms_p90,cpu_fusion_ms_median,cpu_fusion_ms_p90,cpu_single_sessions_per_s,cpu_fusion_sessions_per_s,onnxcpu_single_ms_median,onnxcpu_single_ms_p90,onnxcpu_fusion_ms_median,onnxcpu_fusion_ms_p90,onnxcpu_single_sessions_per_s,onnxcpu_fusion_sessions_per_s
yolo11n-cls,100,3.199746,12.795272,1.53879,6.15516,0.81668352,3.26673408,7.619692999924155,7.792103300107556,30.60357250024026,31.4167333000114,131.23888324765235,32.67592370113487,15.459234500212917,15.866633500172613,52.908519499851536,57.824592499946455,64.68625597122725,18.90054776533307,44.29980199938655,52.19228840032884,220.15827699988225,230.91201489933155,22.573464324148624,4.542186710520699
yolo26n-cls,100,3.199746,12.794952,1.53879,6.15516,0.81668352,3.26673408,7.514117999562586,7.640925699706713,30.437747499945544,31.32743419992039,133.0828182440324,32.85394229654442,17.443955000089773,17.879231900315062,53.99767049948423,55.887374999929314,57.32644919084312,18.519317421471943,52.36668900033692,56.19967339971481,214.63210249976328,231.0834669001452,19.09610897862124,4.659135275446984
