model,view,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std
yolo11n-cls,Füzyon (4K),0.6421370384826266,0.022605152159168904,0.6452210108600088,0.024860259183509335
yolo11n-cls,K1,0.5817837579913905,0.03907032856913251,0.5766483436513987,0.036835632429454014
yolo11n-cls,K2,0.6372152910619248,0.01530253944997789,0.6329107183140572,0.012485660271279914
yolo11n-cls,K3,0.6009372363761721,0.017275018553981045,0.610261246917366,0.013089843668784813
yolo11n-cls,K4,0.6218391469842199,0.043995754076426426,0.6262641415954154,0.04470508701455405
yolo26n-cls,Füzyon (4K),0.6534330100540519,0.029125488896713052,0.6528785758999257,0.03466928571262954
yolo26n-cls,K1,0.6032814523076893,0.038959220272516526,0.6047523221063027,0.03368485927792059
yolo26n-cls,K2,0.6212495134136465,0.02840031373914996,0.6233105371856139,0.027169074115447736
yolo26n-cls,K3,0.6163716853667041,0.026643009544524608,0.6235274112493154,0.02870112653756045
yolo26n-cls,K4,0.6150471592174874,0.029313553323359866,0.6196827394192004,0.04092176377408131
